,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
265,Antoninus Pius,RIC_0302_var_Aureus,Gold,7.31,,AD,159.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0302_var_Aureus.jpg,RIC_0302_var_Aureus.txt
294,Antoninus Pius,RIC_0525var,Copper,10.68,26.0,AD,0.0,"['AVG', 'IMP', 'CAES', 'COS', 'TR', 'PM']",RIC_0525var.jpg,RIC_0525var.txt
309,Antoninus Pius,RIC_0547_var,Brass,28.72,33.0,AD,139.0,"['AVG', 'COS', 'TR']",RIC_0547_var.jpg,RIC_0547_var.txt
310,Antoninus Pius,RIC_0549,Brass,25.68,33.0,AD,139.0,"['AVG', 'COS', 'TR']",RIC_0549.jpg,RIC_0549.txt
318,Antoninus Pius,RIC_0560,Copper,13.91,29.0,AD,139.0,"['AVG', 'COS']",RIC_0560.jpg,RIC_0560.txt
323,Antoninus Pius,RIC_0568c,Copper,11.1,28.0,AD,139.0,"['AVG', 'COS', 'TR']",RIC_0568c.jpg,RIC_0568c.txt
327,Antoninus Pius,RIC_0578,Brass,26.49,30.0,AD,139.0,"['AVG', 'COS']",RIC_0578.jpg,RIC_0578.txt
330,Antoninus Pius,Strack_786,Brass,23.58,31.0,,,"['AVG', 'COS']",Strack_786.jpg,Strack_786.txt
331,Antoninus Pius,RIC_0582,Brass,25.2,33.0,AD,139.0,"['AVG', 'COS']",RIC_0582.jpg,RIC_0582.txt
332,Antoninus Pius,RIC_0583,Brass,27.21,34.0,AD,139.0,"['AVG', 'COS']",RIC_0583.jpg,RIC_0583.txt
333,Antoninus Pius,RIC_0584,Brass,27.27,33.0,AD,139.0,"['AVG', 'COS']",RIC_0584.jpg,RIC_0584.txt
334,Antoninus Pius,RIC_0586,Brass,27.76,34.0,AD,139.0,"['AVG', 'COS']",RIC_0586.jpg,RIC_0586.txt
335,Antoninus Pius,RIC_0587_type_1,Brass,24.27,33.0,AD,139.0,"['AVG', 'COS']",RIC_0587_type_1.jpg,RIC_0587_type_1.txt
336,Antoninus Pius,RIC_0587_type_2,Brass,26.25,33.0,AD,139.0,"['AVG', 'COS']",RIC_0587_type_2.jpg,RIC_0587_type_2.txt
338,Antoninus Pius,RIC_0587_type_4,Brass,27.11,34.0,AD,139.0,"['AVG', 'COS']",RIC_0587_type_4.jpg,RIC_0587_type_4.txt
340,Antoninus Pius,RIC_0588,Copper,27.76,34.0,AD,139.0,"['AVG', 'COS']",RIC_0588.jpg,RIC_0588.txt
363,Antoninus Pius,RIC_0613,Brass,22.41,31.0,,,"['AVG', 'COS', 'SC', 'TR']",RIC_0613.jpg,RIC_0613.txt
366,Antoninus Pius,RIC_0618b,Brass,26.31,,AD,161.0,"['AVG', 'COS', 'TR']",RIC_0618b.jpg,RIC_0618b.txt
367,Antoninus Pius,RIC_0618b2,Brass,20.46,,AD,161.0,"['AVG', 'COS', 'TR']",RIC_0618b2.jpg,RIC_0618b2.txt
374,Antoninus Pius,RIC_0626,Brass,27.23,33.0,,,"['AVG', 'COS', 'PP', 'TR']",RIC_0626.jpg,RIC_0626.txt
379,Antoninus Pius,RIC_0637,Brass,25.29,,AD,140.0,"['AVG', 'COS', 'PP', 'SC', 'TR']",RIC_0637.jpg,RIC_0637.txt
397,Antoninus Pius,RIC_0666,Brass,12.86,,AD,140.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0666.jpg,RIC_0666.txt
398,Antoninus Pius,RIC_0666_sest,Brass,23.96,31.0,AD,140.0,"['AVG', 'COS', 'TR']",RIC_0666_sest.jpg,RIC_0666_sest.txt
399,Antoninus Pius,RIC_0667,Brass,13.4,27.0,AD,140.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0667.jpg,RIC_0667.txt
401,Antoninus Pius,RIC_0669,Brass,25.29,,AD,140.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0669.jpg,RIC_0669.txt
433,Antoninus Pius,RIC_0719,Brass,25.8,,AD,144.0,"['AVG', 'COS', 'PP']",RIC_0719.jpg,RIC_0719.txt
437,Antoninus Pius,RIC_0730,Copper,7.22,26.28,AD,143.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0730.jpg,RIC_0730.txt
444,Antoninus Pius,RIC_0734var,Copper,10.33,,,,"['AVG', 'COS', 'PP']",RIC_0734var.jpg,RIC_0734var.txt
446,Antoninus Pius,RIC_0738,Copper,11.1,26.5,,,"['AVG', 'COS', 'PP']",RIC_0738.jpg,RIC_0738.txt
453,Antoninus Pius,RIC_0749_var2,Brass,26.0,31.0,AD,144.0,"['AVG', 'COS', 'PP', 'TR']",RIC_0749_var2.jpg,RIC_0749_var2.txt
462,Antoninus Pius,RIC_0766,Brass,21.1,30.0,AD,145.0,"['AVG', 'COS', 'SC', 'TR']",RIC_0766.jpg,RIC_0766.txt
